dataInicio,dataFim,entidade,info
09/03/2018,09/03/2018,Vestibular Unicamp,Divulgação da lista de convocados em 6ª chamada para matrícula presencial e lista de candidatos remanejados do Vestibular Unicamp 2018.
09/03/2018,09/03/2018,Catálogo dos Cursos de Graduação,Último dia para as Coordenadorias de Cursos encaminharem à DAC as propostas de alterações curriculares de Catálogos Vigentes a vigorarem a partir do 2º Período letivo de 2018.
09/03/2018,09/03/2018,Catálogo dos Cursos de Graduação,Coordenadorias de Cursos tomam conhecimento dos pareceres da DAC nas propostas de criação/exclusão de habilitação/ênfase em cursos já existentes a serem submetidos às subcomissões da CCG.
12/03/2018,12/03/2018,b'Vestibular Unicamp',"b'Assinatura da lista de chamada dos alunos ingressantes que compareceram nas duas primeiras semanas de aulas, das 9h00 \xc3\xa0s 16h00, nas unidades de ensino. Os alunos dos cursos oferecidos no turno noturno poder\xc3\xa3o assinar a lista de chamada das 19h00 \xc3\xa0s 21h00.'"
12/03/2018,12/03/2018,vestibular unicamp,"Assinatura da lista de chamada dos alunos ingressantes que compareceram nas duas primeiras semanas de aulas, das 9h00 às 16h00, nas unidades de ensino. Os alunos dos cursos oferecidos no turno noturno poderão assinar a lista de chamada das 19h00 às 21h00."
13/03/2018,13/03/2018,b'Vestibular Unicamp',"b'Matr\xc3\xadcula presencial dos convocados em 6\xc2\xaa chamada do Vestibular Unicamp 2018, das 9h00 \xc3\xa0s 12h00, nas unidades de ensino.'"
13/03/2018,13/03/2018,vestibular unicamp,"Matrícula presencial dos convocados em 6ª chamada do Vestibular Unicamp 2018, das 9h00 às 12h00, nas unidades de ensino."
13/03/2018,13/03/2018,Vestibular Unicamp,Identificação civil dos alunos que fizeram matrícula em 6ª chamada do Vestibular Unicamp 2018.
13/03/2018,13/03/2018,Vestibular Unicamp,"Solicitação de Aproveitamento de Estudos para o 1º Período letivo de 2018 - ingressantes da 6ª chamada do Vestibular Unicamp 2018, na DAC."
13/03/2018,13/03/2018,Vestibular Unicamp,Divulgação da lista de convocados em 7ª chamada para matrícula presencial e lista de candidatos remanejados do Vestibular Unicamp 2018.
13/03/2018,16/03/2018,b'Cat\xc3\xa1logo dos Cursos de Gradua\xc3\xa7\xc3\xa3o',b'Prazo para as subcomiss\xc3\xb5es da CCG emitirem pareceres nas propostas de cria\xc3\xa7\xc3\xa3o/exclus\xc3\xa3o de habilita\xc3\xa7\xc3\xa3o/\xc3\xaanfase em cursos j\xc3\xa1 existentes.'
13/03/2018,16/03/2018,catalogo dos cursos de graduacao,Prazo para as subcomissões da CCG emitirem pareceres nas propostas de criação/exclusão de habilitação/ênfase em cursos já existentes.
15/03/2018,15/03/2018,b'Vestibular Unicamp',"b'Matr\xc3\xadcula presencial dos convocados em 7\xc2\xaa chamada do Vestibular Unicamp 2018, das 9h00 \xc3\xa0s 12h00, nas unidades de ensino.'"
15/03/2018,15/03/2018,vestibular unicamp,"Matrícula presencial dos convocados em 7ª chamada do Vestibular Unicamp 2018, das 9h00 às 12h00, nas unidades de ensino."
15/03/2018,15/03/2018,Vestibular Unicamp,Identificação civil dos alunos que fizeram matrícula em 7ª chamada do Vestibular Unicamp 2018.
15/03/2018,15/03/2018,Vestibular Unicamp,"Solicitação de Aproveitamento de Estudos para o 1º Período letivo de 2018 - ingressantes da 7ª chamada do Vestibular Unicamp 2018, na DAC."
15/03/2018,15/03/2018,Vestibular Unicamp,Divulgação da lista de convocados em 8ª chamada para matrícula presencial e lista de candidatos remanejados do Vestibular Unicamp 2018.
19/03/2018,19/03/2018,b'Vestibular Unicamp',"b'Matr\xc3\xadcula presencial dos convocados em 8\xc2\xaa chamada do Vestibular Unicamp 2018, das 9h00 \xc3\xa0s 12h00, nas unidades de ensino.'"
19/03/2018,19/03/2018,vestibular unicamp,"Matrícula presencial dos convocados em 8ª chamada do Vestibular Unicamp 2018, das 9h00 às 12h00, nas unidades de ensino."
19/03/2018,19/03/2018,Vestibular Unicamp,Identificação civil dos alunos que fizeram matrícula em 8ª chamada do Vestibular Unicamp 2018.
19/03/2018,19/03/2018,Vestibular Unicamp,"Solicitação de Aproveitamento de Estudos para o 1º período letivo de 2018 - ingressantes da 8ª chamada do Vestibular Unicamp 2018, na DAC."
19/03/2018,19/03/2018,Vestibular Unicamp,Divulgação da lista de convocados para matrícula presencial em 9ª chamada e lista de candidatos remanejados do Vestibular Unicamp 2018.
19/03/2018,19/03/2018,Média e Frequência,Último dia para as unidades de ensino encaminharem à DAC retificação de Média Final e Frequência do 2º período letivo de 2017.
19/03/2018,19/03/2018,Catálogo dos Cursos de Graduação,Coordenadorias de Cursos tomam conhecimento dos pareceres das subcomissões da CCG nas propostas de criação/exclusão de habilitação/ênfase em cursos já existentes.
21/03/2018,21/03/2018,b'Vestibular Unicamp',"b'Matr\xc3\xadcula presencial dos convocados em 9\xc2\xaa chamada do Vestibular Unicamp 2018, das 9h00 \xc3\xa0s 12h00, nas unidades de ensino.'"
21/03/2018,21/03/2018,vestibular unicamp,"Matrícula presencial dos convocados em 9ª chamada do Vestibular Unicamp 2018, das 9h00 às 12h00, nas unidades de ensino."
21/03/2018,21/03/2018,Vestibular Unicamp,Identificação civil dos alunos que fizeram matrícula em 9ª chamada do Vestibular Unicamp 2018.
21/03/2018,21/03/2018,Vestibular Unicamp,"Solicitação de Aproveitamento de Estudos para o 1º período letivo de 2018 - ingressantes da 9ª chamada do Vestibular Unicamp 2018, na DAC."
